query,rank,chunk_id,distance,source_type,source_name,file_name,chunk_index_in_file,chunk_words,chunk_chars,preview
What are irrigation schemes for farmers?,1,pdf_Farming_Schemes_0054_000054,0.3139086961746216,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,54,220,1541,"organisations/NGOs; and f) Farmer oriented activities like capacity building, training and exposure visits, demonstrations, farm schools, skill development in efficient water and crop management practices (crop alignment) including large scale awaren..."
What are irrigation schemes for farmers?,2,pdf_Farming_Schemes_0053_000053,0.3380122780799866,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,53,220,1630,"strategize by focussing on end -to end solution in irrigation supply chain, viz. water sources, distribution network, efficient farm level applications, extension services on new technologies & information etc. Broadly, PMKSY will focus on:- a) Creat..."
What are irrigation schemes for farmers?,3,pdf_farmerbook_0046_000605,0.3442944288253784,pdf,farmerbook,farmerbook_pdf.txt,46,220,1363,"(40% by the Government of India and 10% by the State Government) for drip/sprinkler Irrigation System. Assistance to the extent of 75% of the cost of demonstration is provided up to a limit of 0.5 ha. Structure of Scheme • At the National level, Nati..."
What is Minimum Support Price scheme?,1,pdf_Farming_Schemes_0009_000009,0.3872634172439575,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,9,220,1340,support prices are a guarantee price for their produce from the Government. The major objectives are to support the farmers from distress sales and to procure food grains for public distribution. In case the market price for the commodity falls below...
What is Minimum Support Price scheme?,2,pdf_Farming_Schemes_0010_000010,0.40001559257507324,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,10,220,1527,"bumper production years. The minimum support prices are a guarantee price for their produce from the Government. The MSP is calculated and recommended by the CACP. For the calculation of the MSP, the CACP takes into account a comprehensive view of th..."
What is Minimum Support Price scheme?,3,pdf_Farming_Schemes_0008_000008,0.45980405807495117,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,8,220,1307,"Support Price Scheme Type of scheme : Central Sector Scheme The Minimum Support Prices were announced by the Government of India for the first time in 1966 -67 for Wheat in the wake of the Green Revolution and extended harvest, to save the farmers fr..."
What agricultural support programs are available for farmers?,1,pdf_Farming_Schemes_0044_000044,0.3710463047027588,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,44,220,1504,"be free from diseases, and appear healthy. In particular, checking the quality of the roots system will be emphasised. It is important to be satisfied that the plants conform to Forest/Horticulture Department‟s regulations or, any other National/Stat..."
What agricultural support programs are available for farmers?,2,pdf_farmerbook_0257_000816,0.3971792780596999,pdf,farmerbook,farmerbook_pdf.txt,257,220,1669,"Universities, ICAR Institutions, Commodity Boards, National Institutes, Interantional Insti-tutes, Agriclinics and Agribusiness Cent-ers, NGOs, Radio, TV , Newspapers, Agri-cultural Magazines and agricultural related websites. 2. Important sources of..."
What agricultural support programs are available for farmers?,3,pdf_farmerbook_0242_000801,0.3980774997246034,pdf,farmerbook,farmerbook_pdf.txt,242,220,1500,beings and livestock. 4. Dispose the pesticide containers safely. 5. First aid knowledge and skills saves the lives. 6. Keep away children from farm machiner - ies. Farmer's Access to Service Farmer’s Handbook on Basic Agriculture 1316.1. Objectives ...
What statistics are available on crop production?,1,web_Production_of_Horticultural_Crops_0001_000887,0.33825548914721293,web,Production_of_Horticultural_Crops,web_Production_of_Horticultural_Crops.txt,1,220,1463,SECTION: Production of Horticultural Crops URL: https://nsc.mospi.gov.in/45-production-horticultural-crops NSC | | Home / Report of Dr. Rangarajan Commission Documents Reports 4.5 Production of Horticultural Crops Current Status 4.5.1 There are two m...
What statistics are available on crop production?,2,web_Crop_Production_0001_000846,0.33871245360245195,web,Crop_Production,web_Crop_Production.txt,1,220,1340,SECTION: Crop Production URL: https://nsc.mospi.gov.in/43-crop-production NSC | | Home / Report of Dr. Rangarajan Commission Documents Reports 4.3 Crop Production Current Status 4.3.1 Estimates of crop production are obtained by multiplying the area ...
What statistics are available on crop production?,3,web_Production_of_Horticultural_Crops_0005_000891,0.34289756341054467,web,Production_of_Horticultural_Crops,web_Production_of_Horticultural_Crops.txt,5,219,1528,"of horticultural crops should be developed taking into account information flowing from all sources including market arrivals, exports and growers associations. Special studies required to establish the feasibility of such a methodology should be tak..."
What does the agriculture handbook say about irrigation?,1,pdf_farmerbook_0034_000593,0.322750985622406,pdf,farmerbook,farmerbook_pdf.txt,34,220,1398,dry years • Reduce labour and save time • Savings on equipment cost • Savings on oil/fuel cost Mulching: Benefits of crop residue mulch- ing are • Increased availability of water and organic matter • Less erosion • Environment protection Additional b...
What does the agriculture handbook say about irrigation?,2,pdf_farmerbook_0046_000605,0.3773556351661682,pdf,farmerbook,farmerbook_pdf.txt,46,220,1363,"(40% by the Government of India and 10% by the State Government) for drip/sprinkler Irrigation System. Assistance to the extent of 75% of the cost of demonstration is provided up to a limit of 0.5 ha. Structure of Scheme • At the National level, Nati..."
What does the agriculture handbook say about irrigation?,3,pdf_Farming_Schemes_0054_000054,0.37803494930267334,pdf,Farming_Schemes,Farming_Schemes_pdf.txt,54,220,1541,"organisations/NGOs; and f) Farmer oriented activities like capacity building, training and exposure visits, demonstrations, farm schools, skill development in efficient water and crop management practices (crop alignment) including large scale awaren..."
