page,chars_extracted,words_extracted,preview
1,176,22,A holistic  perspective of  scientific  agriculture A joint initiative to  impart farmers with  technical knowledge on  basic agriculture.Farmer’s Handbook on Basic Agriculture
2,420,67,"Disclaimer: The opinions expressed provided in this publication are those of the authors and do not necessarily reflect those of GIZ . The  designations employed and the presentation of material in this publication do not imply the expression of any opinion what-soever on the part of GIZ concerning the legal status of any country, territory, city or area, or concerning the delimitation of its frontiers or boundaries."
3,1111,146,"Farmer’s Handbook on Basic Agriculture Farmer’s Handbook on Basic Agriculture Prepared & compiled by Dr. P . Chandra Shekara National Institute of Agricultural Extension  Management (MANAGE) Ministry of Agriculture, GoIHyderabad, Andhra Pradesh India Dr. N. Balasubramani National Institute of Agricultural Extension  Management (MANAGE)Ministry of Agriculture, GoI  Hyderabad, Andhra Pradesh India Dr. Rajeev Sharma Dr. Chitra Shukla Desai Fruits & Vegetables Pvt. Ltd. Navsari, GujaratIndiaDr. Ajit..."
4,2834,362,"The Authors acknowledge the contribution of following experts/professionals in developing the  Handbook.  Mr. Max Baumann, Planning Officer, GIZ, Germany Mr. Fredrick Oberthur, Planning Officer, GIZ, Germany Mr. Ajit Kumar Desai, Chairman, DFV , Navsari, Gujarat  Dr. Sashidhar, Professor, University of Agriculture and Horticultural Sciences, Shimoga, Karnataka Dr. Syed Ahmed Hussain, Professor, ANGRAU, Hyderabad, Telangana Mr. V .Gunasekaran,Agricultural Officer, Pesticide Testing Laboratory, Dh..."
5,3586,510,"Farmer’s Handbook on Basic AgricultureAcknowledgement Higher demand for agricultural raw material is now anticipated and agriculture is not any more about  producing farm products and selling them exclusively at the local market. Instead farmers today have  a world market to serve. But the new chances bring new challenges. Farmers and agricultural enterprises, willing to be part of the new expanding world market, not only have to take into consideration customers’ preferences whom they want to s..."
6,4938,720,"Farmer’s Handbook on Basic Agriculture Preface Agriculture is an important sector of Indian Economy as more than half of its population relies on Ag- riculture as principle source of income. Research and Extension systems play major role in generation  and dissemination of Agricultural technologies aiming at enhancing the income of farmers. The extension system adopts series of extension methods such as Training, demonstration, exposure visit to transfer the technologies from lab to land. Majori..."
7,315,47,Farmer’s Handbook on Basic Agriculture Contents 1. General Conditions for Cultivation of Crops 1-32 2. Soil and Plant Nutrition 33-70 3. Plant Protection 71-96 4. Categories of Pesticides and Precautions 97-98 5. Farm Management 99-120 6. Occupational Health and Safety 121-130 7. Farmer’s Access to Service 131-136
8,0,0,
9,2844,439,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 1Agricultural Universities, Research Institutes,  Krishi Vigyan Kendras have been generat- ing ample technologies to improve the productiv-ity and profitability of the farmers. How many of these technologies are reaching the farmers? Base-line Situation Assessment conducted by Partner - ship farming in India, in Gujarat and Maharashtra, clearly indicated that farmers with access to techni-cal knowledge on agricult..."
10,84,12,2 General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture
11,2990,456,"General Conditions for Cultivation of Crops Farmer’s Handbook on Basic Agriculture 31.3. Factors influencing decisions on  the selection of crops and cropping system Climatic factors  Is the crop/cropping system suitable for local weath- er parameters such as temperature, rainfall, sun shine hours, relative humidity, wind velocity, wind direction, seasons and agro-ecological situations? Soil conditions  Is the crop/cropping system suitable for local soil type, pH and soil fertility?  Water  • Do..."
